ts,price,alpha
2026-05-14 17:05:14.225,347.488,130
2026-05-14 17:05:14.862,347.488,188
2026-05-14 17:05:15.499,347.488,252
2026-05-14 17:05:16.136,347.488,253
2026-05-14 17:05:16.773,347.488,253
2026-05-14 17:05:17.409,347.488,253
2026-05-14 17:05:18.046,347.488,193
2026-05-14 17:05:18.683,347.488,10
2026-05-14 17:06:04.539,347.488,31
2026-05-14 17:06:05.176,347.488,231
2026-05-14 17:06:05.813,347.488,247
2026-05-14 17:06:06.450,347.488,244
2026-05-14 17:06:07.087,347.488,146
2026-05-14 17:06:07.724,347.488,10
2026-05-14 17:06:21.098,347.488,55
2026-05-14 17:06:21.735,347.488,64
2026-05-14 17:06:22.372,347.488,55
2026-05-14 17:05:02.124,347.604,50
2026-05-14 17:05:02.761,347.604,202
2026-05-14 17:05:03.398,347.604,210
2026-05-14 17:05:04.035,347.604,202
2026-05-14 17:05:04.672,347.604,50
2026-05-14 17:05:11.677,347.604,104
2026-05-14 17:05:12.314,347.604,134
2026-05-14 17:05:12.951,347.604,110
2026-05-14 17:05:13.588,347.604,135
2026-05-14 17:05:14.225,347.604,151
2026-05-14 17:05:14.862,347.604,236
2026-05-14 17:05:15.499,347.604,253
2026-05-14 17:05:16.136,347.604,253
2026-05-14 17:05:16.773,347.604,253
2026-05-14 17:05:17.409,347.604,253
2026-05-14 17:05:18.046,347.604,247
2026-05-14 17:05:18.683,347.604,42
2026-05-14 17:06:04.539,347.604,112
2026-05-14 17:06:05.176,347.604,240
2026-05-14 17:06:05.813,347.604,249
2026-05-14 17:06:06.450,347.604,249
2026-05-14 17:06:07.087,347.604,195
2026-05-14 17:06:07.724,347.604,42
2026-05-14 17:06:20.461,347.604,15
2026-05-14 17:06:21.098,347.604,64
2026-05-14 17:06:21.735,347.604,64
2026-05-14 17:06:22.372,347.604,64
2026-05-14 17:06:23.009,347.604,15
2026-05-14 17:05:02.124,347.72,38
2026-05-14 17:05:02.761,347.72,193
2026-05-14 17:05:03.398,347.72,225
2026-05-14 17:05:04.035,347.72,193
2026-05-14 17:05:04.672,347.72,38
