,ust_market_cap_usd
2025-07-18 00:00:00,78862992.95868069
2025-07-21 00:00:00,91028983.38574576
2025-07-24 00:00:00,81382250.05134012
2025-07-27 00:00:00,80181285.95569627
2025-07-30 00:00:00,75459980.65867487
2025-08-02 00:00:00,75103457.7123577
2025-08-05 00:00:00,75840077.34345023
2025-08-08 00:00:00,76888558.66450457
2025-08-11 00:00:00,78989407.26312616
2025-08-14 00:00:00,80897435.47872852
2025-08-17 00:00:00,76889506.68921901
2025-08-20 00:00:00,73754696.55631882
2025-08-23 00:00:00,80163237.08777152
2025-08-26 00:00:00,73754472.33304884
2025-08-29 00:00:00,75885011.23601119
2025-09-01 00:00:00,73144871.94351125
2025-09-04 00:00:00,74408540.87359661
2025-09-07 00:00:00,74725609.19431135
2025-09-10 00:00:00,75514148.6430261
2025-09-13 00:00:00,76162159.3529007
2025-09-17 00:00:00,72442102.61260243
2025-09-20 00:00:00,72700164.93433781
2025-09-23 00:00:00,63047680.88606274
2025-09-26 00:00:00,60250177.40264996
2025-09-29 00:00:00,62320800.44968581
2025-10-02 00:00:00,63586682.131736
2025-10-05 00:00:00,63073821.034767985
2025-10-08 00:00:00,59650734.16894252
2025-10-11 00:00:00,38241877.7386064
2025-10-14 00:00:00,47696405.927609354
2025-10-17 00:00:00,45394176.50357367
2025-10-20 00:00:00,46676278.62706786
2025-10-23 00:00:00,43126288.19945241
2025-10-26 00:00:00,45722849.168656364
2025-10-29 00:00:00,43536786.03028907
2025-11-01 00:00:00,43701377.2315693
2025-11-04 00:00:00,38081547.981389485
2025-11-07 00:00:00,36901838.909821026
2025-11-10 00:00:00,41038309.738648
2025-11-13 00:00:00,38981622.65110999
2025-11-16 00:00:00,37652884.881919414
2025-11-19 00:00:00,36640640.56542379
2025-11-22 00:00:00,32433636.67885914
2025-11-25 00:00:00,33159933.538973264
2025-11-28 00:00:00,33376914.36278427
2025-12-01 00:00:00,34122216.36504245
2025-12-04 00:00:00,34375024.19468733
2025-12-07 00:00:00,68566007.55724633
2025-12-10 00:00:00,54474020.1376985
2025-12-13 00:00:00,47383938.78299922
2025-12-16 00:00:00,36428590.95238415
2025-12-19 00:00:00,39860702.22682948
2025-12-22 00:00:00,39361682.02433721
2025-12-25 00:00:00,37163332.725458115
2025-12-28 00:00:00,37730196.76458867
2025-12-31 00:00:00,34576176.52687221
2026-01-03 00:00:00,36454411.36446028
2026-01-06 00:00:00,38960967.73947918
2026-01-09 00:00:00,37651028.0309947
2026-01-12 00:00:00,39080370.81905047
2026-01-15 00:00:00,39414253.86655437
2026-01-18 00:00:00,40573566.40641539
2026-01-21 00:00:00,35774925.610505894
2026-01-24 00:00:00,35799971.19860795
2026-01-27 00:00:00,35941903.62352943
2026-01-30 00:00:00,33728800.93131677
2026-02-02 00:00:00,31220213.42757857
2026-02-05 00:00:00,29084243.152638335
2026-02-08 00:00:00,26730253.67530321
2026-02-11 00:00:00,26921103.24822046
2026-02-14 00:00:00,27005876.255126286
2026-02-17 00:00:00,28184972.037892435
2026-02-20 00:00:00,28164038.041949116
2026-02-23 00:00:00,27300422.68365472
2026-02-26 00:00:00,27380909.31300159
2026-03-01 00:00:00,29066892.222747233
2026-03-04 00:00:00,28316115.722996756
2026-03-07 00:00:00,27657502.8206645
2026-03-10 00:00:00,27395898.35275997
2026-03-13 00:00:00,28099334.301912885
2026-03-16 00:00:00,27918532.570363786
2026-03-19 00:00:00,27638318.69423357
2026-03-22 00:00:00,26428500.719187785
2026-03-25 00:00:00,26846223.077612773
2026-03-28 00:00:00,24873717.572004948
2026-03-31 00:00:00,24589999.38586845
2026-04-03 00:00:00,24160124.172168884
2026-04-06 00:00:00,25383884.945471965
2026-04-09 00:00:00,25986452.893986747
2026-04-12 00:00:00,27638770.016631152
