date,blockchain,daily_mint,daily_redeem,cumulative_mint,cumulative_redeem,cumulative_net_supply
2026-01-13 00:00:00.000 UTC,avalanche,984999.9999999999,-53149.99999999999,130513200,-45537683.03398158,84975516.96601842
2026-01-13 00:00:00.000 UTC,ethereum,4586100,-2102302,106067275,-34223754.766728245,71843520.23327175
2026-01-14 00:00:00.000 UTC,avalanche,804000,-2117564,131317200,-47655247.03398158,83661952.96601842
2026-01-14 00:00:00.000 UTC,ethereum,3858000,-3571014,109925275,-37794768.766728245,72130506.23327175
2026-01-14 00:00:00.000 UTC,polygon,12732500,-11470877,539173103,-350207767.41373473,188965335.58626524
2026-01-15 00:00:00.000 UTC,ethereum,322500,-1803524,110247775,-39598292.766728245,70649482.23327175
2026-01-15 00:00:00.000 UTC,polygon,16232000,-6900606,555405103,-357108373.41373473,198296729.58626524
2026-01-15 00:00:00.000 UTC,avalanche,45000,,131362200,-47655247.03398158,83706952.96601842
2026-01-16 00:00:00.000 UTC,polygon,12597326,-9310790,568002429,-366419163.41373473,201583265.58626524
2026-01-16 00:00:00.000 UTC,avalanche,691500,-131600,132053700,-47786847.03398158,84266852.96601842
2026-01-16 00:00:00.000 UTC,ethereum,2668001,-178020,112915776,-39776312.766728245,73139463.23327175
2026-01-17 00:00:00.000 UTC,avalanche,620000,-78583.35,132673700,-47865430.38398158,84808269.61601843
2026-01-17 00:00:00.000 UTC,ethereum,3686000,-1536069,116601776,-41312381.766728245,75289394.23327175
2026-01-17 00:00:00.000 UTC,polygon,8918500,-7642474,576920929,-374061637.41373473,202859291.58626524
2026-01-18 00:00:00.000 UTC,ethereum,3149000,-1301834,119750776,-42614215.766728245,77136560.23327175
2026-01-18 00:00:00.000 UTC,polygon,5518100,-4289270.46657,582439029,-378350907.88030475,204088121.11969525
2026-01-18 00:00:00.000 UTC,avalanche,345999.99999999994,-1042195,133019700,-48907625.38398158,84112074.61601843
2026-01-19 00:00:00.000 UTC,polygon,12281000,-6862240,594720029,-385213147.88030475,209506881.11969525
2026-01-19 00:00:00.000 UTC,avalanche,1182000,-329931,134201700,-49237556.38398158,84964143.61601843
2026-01-19 00:00:00.000 UTC,ethereum,1708002,-238995,121458778,-42853210.766728245,78605567.23327175
2026-01-20 00:00:00.000 UTC,avalanche,1507000,-182013,135708700,-49419569.38398158,86289130.61601843
2026-01-20 00:00:00.000 UTC,ethereum,3178000,-539230,124636778,-43392440.766728245,81244337.23327175
2026-01-20 00:00:00.000 UTC,polygon,8359507,-14501635.11932588,603079536,-399714782.99963063,203364753.00036937
