,Ethereum,Solana,Base,BSC,Tron,Others
2025-04-13,52.32682517620771,7.570831176254701,2.8432356552411315,5.868877346672805,5.601909761863814,25.78832088375983
2025-04-20,51.98909414578941,8.184062670712603,2.8203056864748173,6.154132650326233,5.737104402179457,25.115300444517484
2025-04-27,51.8259839452778,8.449332245328254,2.6446942480288333,6.229803859971345,5.471829012530415,25.37835668886336
2025-05-04,51.44257145873878,8.185282798479038,2.5539632717858605,6.01964352922048,5.194207723580447,26.60433121819539
2025-05-11,52.2376250052206,8.121559441920748,2.619450089156705,5.927294711906185,5.2298649666965185,25.864205785099244
2025-05-18,53.54150046865675,8.29110565247421,2.672349464940386,5.477364526629236,5.866144260874954,24.15153562642447
2025-05-25,53.77543423948119,8.267904125170757,2.771429521059811,5.531522824754012,5.837199713556855,23.81650957597737
2025-06-01,54.24673110498344,8.02708137250575,2.8191913050079545,5.575880689143892,5.8820391331745085,23.449076395184456
2025-06-08,55.49463506246814,7.816776457380141,2.9327388915722716,5.4464835845573205,4.6596915442640325,23.649674459758092
2025-06-15,55.764574975850394,7.752692316996531,2.99074930198391,5.358670972856379,4.42061687493472,23.712695557378062
2025-06-22,56.10054996846104,7.690404230326476,3.01689813729642,5.400609116385749,4.4087172379660915,23.382821309564225
2025-06-29,55.99472953709175,7.714756055491425,3.080017074931234,5.469548439842206,4.230963674792985,23.509985217850403
2025-07-06,56.36681831507854,7.714216429836509,3.052157405647518,5.3743741104784775,4.3505576804733765,23.141876058485575
2025-07-13,57.19441302622316,7.551594203887997,3.0544146490908717,5.185537663732029,4.373542731150726,22.64049772591522
2025-07-20,58.375954628022264,7.324926279895867,3.071388925880399,4.958030955126148,4.34217555421883,21.92752365685649
2025-07-27,59.701404463130146,7.250005980640994,3.057861410996243,4.87761489217273,4.236451579155983,20.876661673903904
2025-08-03,59.96795770655131,7.133617738225937,3.0337393646284787,4.965847360558729,4.310102358519389,20.588735471516156
