blockchain,date,rev_usd,tps,spot_dex_volume_usd,circulating_stablecoin_supply_usd,median_fee_usd,color_code,title,rnk
arbitrum,2023-10-10T00:00:00+00:00,51346.267496771725,7.135601851851852,140072770.36495116,1741682557.8510613,0.0592448070441912,#78c1db,Arbitrum,6
arbitrum,2023-10-09T00:00:00+00:00,57999.52103509894,6.98505291005291,179852754.6056617,1740462593.7233415,0.06447605943538305,#78c1db,Arbitrum,6
arbitrum,2023-10-08T00:00:00+00:00,41555.41714299556,7.096906415343915,104523045.07262991,1740077405.5431905,0.06975726717011912,#78c1db,Arbitrum,6
arbitrum,2023-10-07T00:00:00+00:00,45889.06841397263,7.472098214285714,62230436.04198518,1740177216.6460261,0.07091283266635781,#78c1db,Arbitrum,6
arbitrum,2023-10-06T00:00:00+00:00,64842.86278707928,7.666752645502646,159023618.27665508,1734177390.4770942,0.07307395650264012,#78c1db,Arbitrum,6
arbitrum,2023-10-05T00:00:00+00:00,65570.78940280277,7.708434193121693,148904110.98525655,1724259676.948191,0.07373683190139702,#78c1db,Arbitrum,6
arbitrum,2023-10-04T00:00:00+00:00,67234.39797265848,7.91087962962963,171269209.06347018,1742423821.9910147,0.07465895768605157,#78c1db,Arbitrum,6
arbitrum,2023-10-03T00:00:00+00:00,77437.28398015993,7.982683531746032,135199860.7265239,1727064108.5032377,0.07555306151952824,#78c1db,Arbitrum,6
arbitrum,2023-10-02T00:00:00+00:00,102997.75937183195,7.880008267195767,303323111.82311463,1708885967.1999145,0.07522725847811451,#78c1db,Arbitrum,6
arbitrum,2023-10-01T00:00:00+00:00,113897.03209040071,7.732959656084656,189347350.8016256,1696842780.463519,0.0728498911264326,#78c1db,Arbitrum,6
arbitrum,2023-09-30T00:00:00+00:00,95575.79671570603,7.391683201058201,105591527.22078353,1680061519.517605,0.07163137583871503,#78c1db,Arbitrum,6
arbitrum,2023-09-29T00:00:00+00:00,95681.56715744386,6.996531084656085,175218463.58413255,1672103822.0780368,0.0718170399068976,#78c1db,Arbitrum,6
arbitrum,2023-09-28T00:00:00+00:00,102965.476165785,6.77754298941799,203113051.5412484,1680470166.0095062,0.07075539583860567,#78c1db,Arbitrum,6
arbitrum,2023-09-27T00:00:00+00:00,95249.96594759736,7.065279431216931,143150956.01377764,1692122269.5001087,0.06921396132052941,#78c1db,Arbitrum,6
arbitrum,2023-09-26T00:00:00+00:00,72369.90428897565,6.997094907407408,92814242.44329922,1671963080.1855516,0.06599236528257799,#78c1db,Arbitrum,6
arbitrum,2023-09-25T00:00:00+00:00,59877.4735555156,6.945454695767196,111094775.15217756,1691389546.6513438,0.06280820025888503,#78c1db,Arbitrum,6
arbitrum,2023-09-24T00:00:00+00:00,44082.09089429064,6.9647503306878304,75555797.43350092,1689136836.712582,0.059336471746854295,#78c1db,Arbitrum,6
arbitrum,2023-09-23T00:00:00+00:00,41606.56307965375,6.840648148148148,53958337.16269779,1687532868.7296543,0.05814732559007801,#78c1db,Arbitrum,6
arbitrum,2023-09-22T00:00:00+00:00,53540.18518302119,6.805739087301587,76625113.83214884,1680683529.8563986,0.05580935103207973,#78c1db,Arbitrum,6
arbitrum,2023-09-21T00:00:00+00:00,104390.47887403716,6.615720899470899,123865235.32369712,1653117038.0790906,0.05598859518783868,#78c1db,Arbitrum,6
arbitrum,2023-09-20T00:00:00+00:00,49893.91468800103,5.919818121693122,165146650.5876911,1654686368.7398808,0.06023530808276027,#78c1db,Arbitrum,6
arbitrum,2023-09-19T00:00:00+00:00,42831.1954033456,5.664371693121693,144436826.69992045,1642677563.7178855,0.06690471558394318,#78c1db,Arbitrum,6
arbitrum,2023-09-18T00:00:00+00:00,45816.226180198806,5.6133068783068785,171629130.42720762,1644940422.6388903,0.0719220822252,#78c1db,Arbitrum,6
arbitrum,2023-09-17T00:00:00+00:00,30931.020249846904,5.643462301587301,75448948.20905808,1638783533.8616898,0.0785269823493345,#78c1db,Arbitrum,6
arbitrum,2023-09-16T00:00:00+00:00,32543.989099371585,5.722910052910053,68917721.9785018,1629385961.4177542,0.08159840972594913,#78c1db,Arbitrum,6
arbitrum,2023-09-15T00:00:00+00:00,40470.932792867054,5.709413029100529,123602384.88679472,1619329707.1856055,0.08547299546193969,#78c1db,Arbitrum,6
arbitrum,2023-09-14T00:00:00+00:00,65381.32889637473,5.755191798941799,182331140.77425697,1602332261.1067164,0.08965045729709972,#78c1db,Arbitrum,6
arbitrum,2023-09-13T00:00:00+00:00,73312.8706984425,5.767319775132275,152645971.32573396,1596317334.629586,0.09016251529289655,#78c1db,Arbitrum,6
arbitrum,2023-09-12T00:00:00+00:00,66718.13488909123,5.808576388888889,189831106.08260128,1590751225.4539204,0.09155827514887936,#78c1db,Arbitrum,6
arbitrum,2023-09-11T00:00:00+00:00,86038.18908099411,5.8762549603174605,213738579.18341622,1568004563.683595,0.09261975705542265,#78c1db,Arbitrum,6
arbitrum,2023-09-10T00:00:00+00:00,47561.142707530744,5.736091269841269,104712165.40055838,1590337433.201375,0.09122761006294021,#78c1db,Arbitrum,6
arbitrum,2023-09-09T00:00:00+00:00,44856.805425730825,5.670314153439153,37791247.45049188,1579748167.8943467,0.09303939009108352,#78c1db,Arbitrum,6
arbitrum,2023-09-08T00:00:00+00:00,62061.300151542586,5.793821097883598,99583968.78005002,1577821859.5260966,0.09535413378660174,#78c1db,Arbitrum,6
arbitrum,2023-09-07T00:00:00+00:00,71704.10823864675,5.905343915343916,114718384.5117128,1568396037.64623,0.09780071523367165,#78c1db,Arbitrum,6
arbitrum,2023-09-06T00:00:00+00:00,80083.24309078805,6.14911044973545,151961292.52405423,1555419731.7908254,0.10127809071995131,#78c1db,Arbitrum,6
arbitrum,2023-09-05T00:00:00+00:00,82117.38314716311,6.16275958994709,109282114.99203445,1554454363.638521,0.10395135822194215,#78c1db,Arbitrum,6
arbitrum,2023-09-04T00:00:00+00:00,61582.92924457175,6.149100529100529,96520010.74594033,1558451391.815043,0.11352439183156529,#78c1db,Arbitrum,6
arbitrum,2023-09-03T00:00:00+00:00,48152.46927107471,6.207612433862434,66670574.26951739,1556268882.4202182,0.11681856863776659,#78c1db,Arbitrum,6
arbitrum,2023-09-02T00:00:00+00:00,55205.442452938114,6.276383928571429,61716136.84847664,1547748019.5968976,0.11605564681481058,#78c1db,Arbitrum,6
arbitrum,2023-09-01T00:00:00+00:00,81608.10427215164,6.3157242063492065,170121354.37208927,1540507046.0604887,0.11620666005501178,#78c1db,Arbitrum,6
arbitrum,2023-08-31T00:00:00+00:00,107730.10159369075,6.515181878306878,210940188.81790614,1559970217.3039923,0.12462999056900244,#78c1db,Arbitrum,6
arbitrum,2023-08-30T00:00:00+00:00,88037.79172576322,6.318692129629629,134438980.67514312,1568225312.2874389,0.12355214301699478,#78c1db,Arbitrum,6
arbitrum,2023-08-29T00:00:00+00:00,150586.90135724325,6.46989417989418,331920354.8814089,1571366643.6635976,0.1216785910514934,#78c1db,Arbitrum,6
arbitrum,2023-08-28T00:00:00+00:00,85970.3460953182,6.496087962962963,133540033.1468015,1565373290.979707,0.11946527489002512,#78c1db,Arbitrum,6
arbitrum,2023-08-27T00:00:00+00:00,53369.18152311975,6.5854150132275135,49468663.08655086,1584111521.5004573,0.1191545581466652,#78c1db,Arbitrum,6
arbitrum,2023-08-26T00:00:00+00:00,66093.05217345244,6.6844675925925925,64567946.280690625,1580390510.9609709,0.118697721078083,#78c1db,Arbitrum,6
arbitrum,2023-08-25T00:00:00+00:00,157273.068310721,6.857632275132275,152378370.25256327,1581911063.0598924,0.11597600381521889,#78c1db,Arbitrum,6
arbitrum,2023-08-24T00:00:00+00:00,85699.80406027708,6.873134920634921,138660276.4158211,1576331205.5912313,0.10940892355644342,#78c1db,Arbitrum,6
arbitrum,2023-08-23T00:00:00+00:00,98275.59790499866,7.462465277777778,217685800.8971377,1569394374.2335572,0.11873059305714785,#78c1db,Arbitrum,6
arbitrum,2023-08-22T00:00:00+00:00,125772.28690472935,7.438926917989418,227185348.11065254,1611461072.7656343,0.12443987578458635,#78c1db,Arbitrum,6
arbitrum,2023-08-21T00:00:00+00:00,94746.8605453915,7.454497354497354,150857026.1015536,1609054547.5939314,0.12385496810956455,#78c1db,Arbitrum,6
arbitrum,2023-08-20T00:00:00+00:00,75707.40743177448,7.490580357142857,99652173.82620993,1609688722.0316894,0.12434444291561653,#78c1db,Arbitrum,6
arbitrum,2023-08-19T00:00:00+00:00,81349.92719841248,7.508996362433862,107945463.39691934,1609529146.6875544,0.12746737023182003,#78c1db,Arbitrum,6
arbitrum,2023-08-18T00:00:00+00:00,116410.08558406403,7.258637566137566,273761551.7595536,1608690388.0538301,0.13216196198386046,#78c1db,Arbitrum,6
arbitrum,2023-08-17T00:00:00+00:00,363045.77055661054,7.060461309523809,516078374.67571765,1593375646.5912118,0.13243422966907223,#78c1db,Arbitrum,6
