Day,Only_BRC20_Fee,Only_Runes_Fee,Other_Inscriptions_Fee,Other_RnI_Fee,regular_tx_Fee,RnB_Fee
2025-03-06,0.1808858099999925,0.06240767999999912,0.03492047000000029,0.000745340000000011,4.821834650000178,0.07511449000000305
2025-03-07,0.11681167999999922,0.06425473000000162,0.027787289999999975,7.576999999999237e-05,5.44544223000012,0.022602230000000032
2025-03-08,0.16370752000000077,0.04895978999999875,0.016639880000001217,0.00044359999999998845,4.074685860000085,0.04608442000000037
2025-03-09,0.17455177000000605,0.05323773000000265,0.030357780000001347,0.0018914399999999248,4.07813095000009,0.07285175999999711
2025-03-10,0.27144495000002344,0.05820596000000133,0.008407220000001325,4.759999999937037e-06,4.766255650000019,0.21541490000000119
2025-03-11,0.233347709999998,0.05381114999999917,0.032130299999999085,0.0009586600000001388,5.5735591600002525,0.13941077000000557
2025-03-12,0.17893774999998252,0.05079295999998973,0.17989660000001445,0.00043101999999983764,4.516620980000561,0.26616142999998615
2025-03-13,0.32348769000004585,0.047111749999981356,0.03971517000000724,0.00012097999999993725,4.643836920000343,0.5053958799999216
2025-03-14,0.4036611100000297,0.05397559999999618,0.022771199999995273,0.0005223199999997985,4.624817160000128,0.34179426999998674
2025-03-15,0.2445925500000724,0.04172647000001983,0.017585049999996438,4.38699999999459e-05,4.081993449999607,0.5466583299999378
2025-03-16,0.12433989000002976,0.04551178000000988,0.023137999999990222,0.0020606299999995636,3.4031120600002165,0.5221149699998906
2025-03-17,0.0899836800000039,0.060548120000010086,0.047962620000003287,7.52800000000109e-05,4.277056890000195,0.20930266999999392
2025-03-18,0.08635659000000173,0.0943240900000051,0.03104108000000874,0.0008206199999997166,4.131242159999963,0.1630535899999875
2025-03-19,0.3555983300000036,0.04462798000000273,0.036971319999989705,0.00010840000000000849,4.595455739999992,0.2556739700000207
2025-03-20,0.15353081000000507,0.053589340000002386,0.02750877999999915,0.0007255900000000259,5.129462329999871,0.10631660000000216
2025-03-21,0.13448643000000277,0.044362480000001384,0.038048639999999925,0.00019370000000000498,4.776207219999946,0.05391569000000197
2025-03-22,3.008007630000292,0.14519590999999177,0.12655000999999821,0.001884260000000082,6.070171999999768,0.4570456900000017
2025-03-23,0.6251685600000979,0.06692957999999449,0.0926230200000111,0.0008632399999999318,4.477656610000327,0.7152100799999682
2025-03-24,0.18250842000005674,0.0602084600000099,0.026565270000009633,0.00022673000000006382,5.391661720000107,0.5095693200000097
2025-03-25,0.2735458499999944,4.3463613799998475,0.037121219999999344,0.00031471000000021787,8.040012860000395,0.4073052000000142
2025-03-26,0.26489565000002896,0.20623519999998924,0.0295079999999992,7.83000000004197e-06,8.748653470000349,0.43057135999999524
2025-03-27,0.13098588000001266,0.0699991300000154,0.038502859999999306,0.0011599900000000551,4.741428320000223,0.3055010399999856
2025-03-28,0.2947095299999843,0.06409504999999505,0.02162027999999966,0.00041104999999969083,5.457170519999977,0.2770610299999933
2025-03-29,0.07967275999999839,0.04624723999999845,0.025103400000000074,3.9920000000005784e-05,4.003435009999988,0.0490089800000018
2025-03-30,0.05889588999999591,0.07150026000000956,0.034390359999996886,0.0010725500000001026,2.886232179999866,0.09634277999999989
2025-03-31,0.06084117999999644,0.08826646999999643,0.10317201999999881,0.0002662899999999399,4.615470850000008,0.03836077000000063
2025-04-01,0.06940114999999417,0.09834137999999713,0.0661181099999963,0.0002077599999999874,4.050359239999942,0.06949331000000186
2025-04-02,0.2104977399999745,0.11921281000000139,0.05742737999999416,0.00013886000000000454,3.94994201999995,0.09633011999999742
2025-04-03,0.08993381000000392,0.04259600999999433,0.08649579999998372,0.0005037099999997963,5.37243594999988,0.18945584999997897
