date,xyz_share_all,xyz_share_q1peers,total_usd_all,xyz_usd,hhi_all,runner_up,runner_up_share,active_namespaces
2026-04-19,0.924184558634041,0.9254135558594402,1108738282.181531,1024678799.958603,8563.788833907778,cash,0.0439186731734003,7
2026-04-20,0.9172867959171908,0.91767969735297,2138803050.0591197,1961895796.8866448,8444.008754781587,cash,0.0517919058373949,7
2026-04-21,0.9447989019935308,0.9452053980467534,2529732384.244816,2390088378.9719787,8940.83733297264,cash,0.0363556819991622,7
2026-04-22,0.9331182738156766,0.9334530259643824,1824491493.8330889,1702466353.3169167,8725.856500976402,cash,0.0403329542536305,7
2026-04-23,0.92497099979936,0.9251960451194288,2696550869.939825,2494231354.178074,8582.955370823765,cash,0.0498872485931162,7
2026-04-24,0.9169658933459716,0.9170867096554352,2240203300.0296326,2054190020.2882657,8454.000786453747,cash,0.0670455309131351,7
2026-04-25,0.9232469753278436,0.923775367769204,317463934.8396559,293097617.6163879,8545.894607106517,cash,0.0405826600256504,7
2026-04-26,0.8619878014487603,0.9277433198417708,600112586.20975,517289728.8086721,7496.643536435629,para,0.0708768438281239,7
2026-04-27,0.908208372278081,0.9085895680097044,1708465194.2739248,1551642393.1852767,8302.464881663378,cash,0.0727143081881413,7
2026-04-28,0.9302448360012916,0.9303628649660614,2420248727.130378,2251423880.251733,8683.62743886189,cash,0.0540403403356395,7
2026-04-29,0.9266737872236284,0.9267160739800292,2935442746.547523,2720197847.121322,8620.182305083965,cash,0.0564615614153991,7
2026-04-30,0.9318593924400445,0.9319161086421016,2846404488.589645,2652448757.375762,8714.69634481502,cash,0.0551931069171531,7
2026-05-01,0.9368983181881444,0.9370078342167876,2323703913.8740907,2177074288.8758445,8799.146624513896,cash,0.0450821647655439,7
2026-05-02,0.8513267753282557,0.8524955885061901,230045975.3551921,195844298.37637907,7335.783851348466,cash,0.0831964477042569,7
2026-05-03,0.9280132107025548,0.928134168917681,689094132.803218,639488458.6590071,8630.888536650156,cash,0.0365020280562945,7
2026-05-04,0.93361906896445,0.9339254913364968,3319107020.479887,3098781606.2538023,8733.330317737034,cash,0.0372508393308663,7
2026-05-05,0.9398165383263742,0.9401683703941366,2364574288.8981094,2222266022.8077693,8850.850131420642,cash,0.0414731360383491,7
2026-05-06,0.950243894176569,0.9506355207566018,3561033304.0561285,3383850154.1387496,9041.03907255645,cash,0.0324017168587983,7
2026-05-07,0.9387261894002242,0.9388893868300302,3650186229.7476296,3426525410.0521636,8834.10761201216,cash,0.0462512065381788,7
2026-05-08,0.9363449251614756,0.9364579769969572,2412480014.301562,2258913418.4447517,8790.212631210785,cash,0.0466073145625471,7
2026-05-09,0.9005757505892057,0.9036259509349444,311628203.17103887,280644802.9755238,8135.590936093767,km,0.0307700714292542,7
2026-05-10,0.9316017288390316,0.9324221329559708,835126724.122545,778005499.99224,8693.111992329543,cash,0.0315286177639422,7
2026-05-11,0.932953128320386,0.9333990346504688,2545256246.433314,2374604777.4869637,8729.694101509409,cash,0.0497055288029788,7
2026-05-12,0.9203431223006386,0.9211291873622616,2473916222.64394,2276851780.6583257,8510.642550813218,cash,0.062727550833181,7
2026-05-13,0.9220755876703012,0.922439108667573,2378507839.5589933,2193164013.9397774,8538.605513483839,cash,0.0592535110629651,7
2026-05-14,0.934491774115843,0.9347677478929332,2779947749.7347083,2597838304.598933,8757.437594617364,cash,0.0484040876091294,7
2026-05-15,0.933700389550882,0.9339667922580864,2943036195.335631,2747914042.047224,8740.995055296362,cash,0.0464410887526559,7
2026-05-16,0.9151072312765052,0.9163652035103016,303261829.2421869,277517092.90966594,8396.251773517186,cash,0.032344805460553,7
2026-05-17,0.916877143957024,0.9170683177437172,481797306.51663715,441748938.3651611,8431.042655875326,cash,0.0386916160112702,7
2026-05-18,0.932348654971924,0.9324336259703514,3474360784.332494,3239315604.1596,8714.744281902973,cash,0.045444536025446,7
2026-05-19,0.9383941374594384,0.9384037155965316,2810077103.655707,2636959879.8795137,8828.200456757872,cash,0.0466438548246511,7
2026-05-20,0.9391586834141722,0.9392166562846428,3067651373.3086686,2881011424.9302464,8843.592966539845,cash,0.0477787619644053,7
2026-05-21,0.954974474416195,0.9553245185564498,3179044705.4700413,3035906546.75184,9130.544162090808,cash,0.0321186014420004,7
2026-05-22,0.9560579805462988,0.9569452374249718,2233609705.453767,2135460384.3247416,9149.8229553513,cash,0.0295533654681347,7
2026-05-23,0.9452425217510612,0.946594847414398,1251481916.4076655,1182953922.5910327,8947.999163006107,cash,0.0337816292285076,7
2026-05-24,0.93509840972604,0.9357730683912806,930616630.688526,870218131.421446,8760.054288647758,cash,0.0333550694376621,7
2026-05-25,0.964940840314004,0.9651394831353308,1286832572.2837532,1241717303.6429162,9315.362139064284,cash,0.0170649126978911,7
2026-05-26,0.9527657219078292,0.9534394018889428,2130016724.536861,2029406922.229112,9087.161323671227,cash,0.0287521590014769,7
2026-05-27,0.963200682310872,0.9639518147054804,2870558199.260239,2764923616.14053,9282.968430675595,cash,0.0217220439792654,7
2026-05-28,0.95580198882706,0.9563706193273804,2481344072.9323573,2371673599.8729844,9141.893722356572,cash,0.0227841875614342,7
2026-05-29,0.9657327767189784,0.9662506647198182,2229267593.9898763,2152876783.593479,9331.626200343571,cash,0.0215277253744459,7
2026-05-30,0.9238628903053492,0.9242669079559088,325481205.73366207,300700007.46917105,8559.505233474532,cash,0.0449858214530532,7
2026-05-31,0.902912470873492,0.909551368439456,558862289.4372498,504603730.6338038,8186.721829254898,cash,0.0501481255763828,7
2026-06-01,0.9615656299872252,0.9632256379591024,2834028059.3272386,2725103976.2684693,9252.473787234145,cash,0.0235426157537115,7
2026-06-02,0.9588488924523724,0.9605462538406252,2591705494.976435,2485053943.420882,9201.241302625542,cash,0.0254834478629789,7
2026-06-03,0.9613155427186374,0.9644283979112618,2848129306.0346236,2737950969.5635304,9247.536960395431,cash,0.0234819076828922,7
2026-06-04,0.9597298075424644,0.9609785151112396,3116085342.937585,2990599986.4633827,9217.784927166322,cash,0.0250864148378685,7
2026-06-05,0.9590861488486384,0.960484504386535,4121197187.133075,3952583138.853302,9205.932195746169,cash,0.0257612508244162,7
2026-06-06,0.913529421222512,0.915075264204238,845409166.8258371,772306146.8666131,8382.917289342036,cash,0.0585253740962451,7
2026-06-07,0.9476061430988546,0.9478214011357686,1269234901.5307205,1202734789.7259803,8995.860055530733,cash,0.0395191692378748,7
2026-06-08,0.9677731657986196,0.9678914772224512,3750846791.6118455,3629968873.9437914,9372.295395060471,cash,0.0248369327217432,7
2026-06-09,0.972289241043284,0.9723705177781844,4762450603.662197,4630479482.940847,9457.919397756,cash,0.0205429056446947,7
2026-06-10,0.9702558687143568,0.9703862512083792,4607586994.5976715,4470538322.120336,9419.082468787334,cash,0.0220808113032986,7
2026-06-11,0.9750730180647436,0.9751921955753056,4422058782.650093,4311830203.258332,9511.219378713897,cash,0.0182764129914683,7
2026-06-12,0.9789523513007284,0.9790916494096552,4596126710.453182,4499389050.074224,9586.012843694183,cash,0.0156315522482503,7
2026-06-13,0.936092338688845,0.9362067508300702,521622820.20616394,488287125.6802589,8784.770748283785,cash,0.0451315712306691,7
2026-06-14,0.9695267537928924,0.9696642558029082,1192063655.702732,1155737606.427958,9405.054758688706,cash,0.0223282169145197,7
2026-06-15,0.968885201674901,0.9689784450833148,3218678696.622161,3118530158.10347,9392.172673847914,cash,0.0210225185388276,7
2026-06-16,0.9792225625209492,0.9792504677313894,4009546349.992919,3926238251.386585,9591.454949473027,cash,0.0160568040501281,7
2026-06-17,0.979091701719364,0.9792748361018606,3719178836.066944,3641417135.603428,9589.286381823364,cash,0.0174356105762411,7
2026-06-18,0.9775944265730676,0.9776380131638636,3499630815.221918,3421219580.024308,9561.186266183096,cash,0.020649474319284,6
2026-06-19,0.97490581316849,0.9749374739471314,1217293399.0759685,1186746411.0907924,9509.430902744123,cash,0.0223136106847687,6
2026-06-20,0.9782992914689368,0.9785179471423796,439695303.3161868,430153603.6964448,9573.460931136651,cash,0.0161469336517896,5
2026-06-21,0.9831520346482916,0.9833075834377694,727982062.9936988,715717046.4197159,9668.256526971838,cash,0.0153602329228361,4
2026-06-22,0.9720340485074588,0.9720471445144894,3576146672.093568,3476136327.731587,9455.931857119069,cash,0.0272488340396935,4
2026-06-23,0.9774135143736724,0.9774416535413292,4915585874.170987,4804560064.479045,9557.745284205188,cash,0.0208424426033805,4
2026-06-24,0.9795786299428612,0.9796202851712308,4206635156.6201506,4120729903.39144,9599.325491018588,cash,0.0188671636069782,4
2026-06-25,0.9880443507929828,0.98809650832815,3780030705.7178354,3734837984.60852,9763.345119078414,cash,0.0099533630623286,4
2026-06-26,0.9935169189513202,0.9935460164141612,3580277610.0642548,3557066380.1414347,9870.98965561942,cash,0.0042924322534847,4
2026-06-27,0.9791782035382166,0.979200531776727,375132872.57155174,367321932.2527428,9591.149719146086,cash,0.01777235380599,4
2026-06-28,0.9773202618099524,0.977398933189656,747920481.5738428,730957840.8647738,9554.842894831085,cash,0.0173834492275531,4
2026-06-29,0.9918345272461824,0.9919283293909588,3258768914.1095643,3232159525.3304143,9837.68972851144,cash,0.0046119510417754,4
2026-06-30,0.9947740067891556,0.9948160273123804,2557805607.2505856,2544438532.5124345,9895.901038694732,cash,0.0034109771698687,4
