hour_ts_utc,Trade[XYZ],Binance,OKX,Aster,Lighter,Ventuals
2026-06-08 09:00:00+00:00,165.60054756917253,165.1815930233542,163.22602588855207,164.98312063100917,,154.2264398910599
2026-06-08 10:00:00+00:00,164.55333725967475,164.26129823006727,161.95296038939566,164.37,,152.91666666666666
2026-06-08 11:00:00+00:00,165.8074769125637,165.5699926413522,163.28334640001654,165.62000241516725,,154.09537634495393
2026-06-08 12:00:00+00:00,166.04887022191969,165.7606534183073,163.12338590985,165.9038798963452,,153.82262996941895
2026-06-08 13:00:00+00:00,167.34476808851693,167.14075658865642,163.96545034768337,167.24409723815,,152.41590214067278
2026-06-08 14:00:00+00:00,166.92125526906497,166.85787387714538,163.06814861669477,166.91000239650106,,152.92813455657492
2026-06-08 15:00:00+00:00,167.8835646521402,168.05008335420374,161.98933773836274,168.0900005949194,,155.61945361681367
2026-06-08 16:00:00+00:00,169.00475878679188,169.83039328821408,163.78596912036434,169.75582058287543,,156.9815224591991
2026-06-08 17:00:00+00:00,165.28458159219042,171.59321600732517,162.706925404305,171.41774331155946,,156.80120572564343
2026-06-08 18:00:00+00:00,161.4696565941465,172.7124823288952,160.60657854350143,172.03043687791433,,156.63280332369158
2026-06-08 19:00:00+00:00,162.50953269253193,174.70688185414144,162.7659908757802,173.882311275724,,155.4020219758105
2026-06-08 20:00:00+00:00,161.2674450536361,174.5518763003269,162.09081848315589,173.89836399400406,,156.34556574923545
2026-06-08 21:00:00+00:00,160.42523025376155,172.50666235440264,162.53730714400155,171.56717161990431,,154.48666547103463
2026-06-08 22:00:00+00:00,158.29720864916135,170.7001939081702,160.21012229710908,170.30300041683694,,
2026-06-08 23:00:00+00:00,159.36444051835332,170.99565805373481,160.44368412169513,170.4721775658392,,
2026-06-09 00:00:00+00:00,159.59980343052658,171.46137054448076,160.90692138178912,170.90082411777058,,154.7410841153051
2026-06-09 01:00:00+00:00,159.05254169104975,171.0011844414659,160.72809816808214,170.6587206041001,,155.42048929663608
2026-06-09 02:00:00+00:00,157.68736619900704,169.56767787929834,159.4374795585398,169.33773621990215,,154.78593272171253
